artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.text,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.text,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.text,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,the_end_text.started,the_end_text.stopped,the_end_text.text,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,"     Thank you for participating in the experiment: 

     Personalized non-invasive brain stimulation    
            for second language learning            
",14.34215497970581,None,58.34437012672424,None,61.511216163635254,88.52928519248962,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",61.511216163635254,88.52928519248962,61.49433631896973,None,87.89597010612488,None,,91.42943906784058,None,91.41267247200012,93.41296911239624,92.7963900089264,None,96.19648690223694,None,97.59650106430054,107.59729409217834,107.9973530292511,None,109.39740705490112,110.3974711894989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_01_1422,nibs_stage_1,3.2.3,60.02830886720164,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.44723510742188,None,112.43129749298096,114.43099999427795,113.81428689956665,None,117.21447486877442,118.21450805664062,118.61451692581177,128.61524510383606,129.01522607803344,None,130.41513919830322,131.41520309448242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_01_1422,nibs_stage_1,3.2.3,60.02830886720164,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.46494698524475,None,133.44891853332518,135.44876313209534,134.8320400238037,None,138.23225207328795,139.23230600357056,139.63231296539306,149.6328580379486,150.03308887481688,None,151.4329810142517,152.4330689907074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_01_1422,nibs_stage_1,3.2.3,60.02830886720164,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.4827229976654,None,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",155.4827229976654,None,155.4669117450714,None,184.8842911720276,None,,186.91853404045105,None,186.91752948760984,188.917818069458,Die Zähne werden geputzt und der Bart rasiert.,188.28446006774902,205.88538813591003,189.684454870224,None,202.48514409065245,None,203.88522100448608,205.88538813591003,./data/Subject_00/Session_00/Exp_data/2020_Jul_01_1422/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_01_1422,nibs_stage_1,3.2.3,60.02830886720164,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.93554210662842,None,207.91864652633666,209.91896104812622,Früher haben in Europa und Asien Neandertaler gelebt.,209.31889510154724,226.91977620124817,210.71899695396422,None,223.51959199905394,None,224.91975212097168,226.91977620124817,./data/Subject_00/Session_00/Exp_data/2020_Jul_01_1422/rec_cali_de_pre_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_01_1422,nibs_stage_1,3.2.3,60.02830886720164,
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/2020_Jul_01_1422/rec_QA_run_00_block_000_trial_000.wav,269.3386800289154,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",269.3386800289154,None,269.33846750259397,None,"Please keep relaxed and open your eyes.
Note: Blinking is allowed.",292.3564729690552,302.3570899963379,306.75729417800903,None," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",306.75729417800903,None,306.74035782814025,None,346.1594250202179,None,Listen to the question and speak out your answer!,349.2096071243286,None,349.19261660575864,351.1930351257324,Ich muss mein Versprechen halten.,halten,350.5763389587402,None,352.9265510559082,None,365.7773410797119,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_01_1422,nibs_stage_1,3.2.3,60.02830886720164,
,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/2020_Jul_01_1422/rec_QA_run_00_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,368.21077704429626,None,368.19394845962523,370.19417810440063,"Es ist nicht erlaubt für alle Autos, vor dem Notausgang zu parken.",parken,369.57738609313964,None,374.0444240093231,None,384.7783829689026,None,386.1781311035156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_01_1422,nibs_stage_1,3.2.3,60.02830886720164,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_01_1422,nibs_stage_1,3.2.3,60.02830886720164,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_01_1422,nibs_stage_1,3.2.3,60.02830886720164,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/2020_Jul_01_1422/rec_cali_de_post_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.21202516555786,420.21336913108826,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",390.21202516555786,420.21336913108826,390.19461007118224,None,420.59664702415466,None,,424.1469841003418,None,424.13011331558226,426.1302990913391,Der Gipfel von Everset ist der höchste der Welt.,425.5135350227356,443.1312429904938,426.9139239311218,None,439.71438093185424,None,441.1311891078949,None,,,,00,00,,A1,True,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_01_1422,nibs_stage_1,3.2.3,60.02830886720164,
,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/2020_Jul_01_1422/rec_cali_de_post_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.1652181148529,None,445.1478154182434,447.1647620201111,Ihre Kinder liegen noch im Bett.,446.5648081302643,None,447.9481300830841,448.9648470878601,460.7488739013672,None,462.16562700271606,None,,,,00,00,,A1,True,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_01_1422,nibs_stage_1,3.2.3,60.02830886720164,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,466.21574997901917,493.25051712989807,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",466.21574997901917,493.25051712989807,466.1822309017181,None,492.63380908966064,None,,496.9343650341034,None,496.9171845436096,498.9341549873352,498.3175498962402,None,501.71766395568847,502.73445105552673,503.11777300834655,513.1349081993103,513.5183619976044,514.5349822044373,514.9350860118866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_01_1422,nibs_stage_1,3.2.3,60.02830886720164,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.968908071518,None,517.951704454422,519.9686810970306,519.3519000530243,None,522.7522809028626,None,524.1521598815918,534.1694300174713,534.5528060913086,None,535.9694430828094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_01_1422,nibs_stage_1,3.2.3,60.02830886720164,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.0028340816498,None,538.9861354351044,541.0031270980835,540.3863470077515,None,543.7866060256958,544.8033201694489,545.1865958690644,555.2038869857788,555.5872530460358,None,557.0038959980011,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_01_1422,nibs_stage_1,3.2.3,60.02830886720164,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.0376989841461,None," This experiment is finished. 
Thanks for your participation.",,,,,,,,,,,,,,,,,,,,,,,,,,
