artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,fade_out_text.text,fade_out_text.started,fade_out_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,"     Thank you for participating in the experiment: 

     Personalized non-invasive brain stimulation    
            for second language learning            
",7.10691499710083,None,22.089125871658325,None,24.107990980148315,31.122796773910522,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",24.107990980148315,31.122796773910522,24.102103233337402,None,30.489501953125,None,,38.76297187805176,None,38.73727407455444,40.73975992202759,40.139947509765626,None,43.54031953811646,44.54021382331848,44.928986644744874,54.94067597389221,55.34091053009033,56.3409378528595,56.74598693847656,57.74578380584717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.78260684013367,None,59.75494494438171,61.75749397277832,61.157679653167726,None,64.54655966758727,None,65.95834550857543,75.9633629322052,76.34692058563232,None,77.74182200431824,78.74699592590332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.80007576942444,None,80.77295293807983,82.77513289451599,82.15871248245239,None,85.55910048484802,None,86.96420559883117,96.96430897712708,97.36455354690551,None,98.75954985618591,99.75958299636841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.81783485412598,None,101.78544607162475,103.79309296607971,103.18161568641662,None,106.58196458816528,None,107.97693357467651,117.98216700553894,118.38233861923217,119.38236999511719,119.77721381187439,120.7773208618164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.83520793914795,None,122.80311408042907,124.8159818649292,124.19919166564941,None,127.59970269203185,128.59928679466248,128.9995726108551,139.01170778274536,139.39510259628295,None,140.79999494552612,141.8000078201294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.83668994903564,None,143.80916895866395,145.81186485290527,145.2003496646881,None,148.60057053565978,None,150.0122905731201,160.01255798339844,160.39615759849548,None,161.80114579200745,162.80115795135498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.84996390342712,None,164.82418599128724,166.83488082885742,166.21825251579284,None,169.61842164993286,None,171.01831755638122,181.0302529335022,181.41381058692932,None,182.8187289237976,183.8187918663025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.8553249835968,None,185.82795300483704,187.83558893203735,187.216361618042,190.21919083595276,190.61953363418579,None,192.0194254875183,202.03125882148743,202.43150553703308,203.4364619255066,203.81977796554565,204.8198390007019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.87274289131165,None,206.84327306747437,208.85338187217712,208.2369035243988,211.2369339466095,211.63718161582946,None,213.03703866004943,223.0492389202118,223.43260560035705,None,224.83752584457397,225.8375768661499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.874009847641,None,227.84673800468445,229.8681948184967,229.2517126560211,232.26830291748047,232.65579352378845,None,234.05197463035583,244.06889081001282,244.45245847702026,None,245.8729739189148,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.90869092941284,None,248.8782431125641,250.90259099006653,250.28628454208373,None,253.68624267578124,None,255.0863495826721,265.1071717739105,265.4868546485901,266.5033509731293,266.9038908481598,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.94498682022095,None,269.9132470130921,271.9370319843292,271.32045755386355,None,274.7206705570221,275.73713994026184,276.12076053619387,286.14162492752075,286.52122459411623,None,287.9377689361572,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.97758078575134,None,290.94696393013004,292.97132086753845,292.3549026012421,295.3714418411255,295.7550135612488,None,297.15520963668826,307.17597699165344,307.5573545455933,None,308.97210693359375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0118157863617,None,311.98132600784305,314.00569581985474,313.3894287109375,None,316.7893916130066,None,318.18944749832156,328.2105448246002,328.59017953872683,None,330.0065929889679,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.0485169887543,None,333.0157140731812,335.04010581970215,334.4236165046692,None,337.82396659851076,None,339.2238195896149,349.24480390548706,349.6244154930115,350.6408488750458,351.04086685180664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.09530687332153,385.142285823822,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",355.09530687332153,385.142285823822,355.0630954742432,None,384.4755849838257,None,,389.80567383766174,None,389.77240562438965,391.8096477985382,Das laute Auto meines Nachbarn stört mich jeden Tag.,391.1762127876282,None,392.56378254890444,None,405.36068162918093,406.3770339488983,406.77715277671814,None,./data/Subject_00/Session_00/Exp_data/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.8311698436737,None,410.8032486438751,412.8272979259491,"Zu den hundeartigen Tieren, die in Österreich leben, gehört der Wolf.",412.2272598743439,None,413.61479053497317,None,426.41151962280276,427.42811393737793,427.8282208442688,None,./data/Subject_00/Session_00/Exp_data/rec_cali_de_pre_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/rec_QA_run_00_block_000_trial_000.wav,586.5813128948212,None,Please remain seated until further instruction via the earphone.,480.98015093803406,None,530.9555897712708,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",530.9555897712708,None,530.9255106449127,None,"Please keep relaxed and open your eyes.
Note: Blinking is allowed.",554.0218558311462,574.052013874054,575.8017868995667,None,603.4917378425598,643.5383009910583," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",603.4917378425598,643.5383009910583,603.4624735355377,None,642.8717927932739,None,Listen to the question and speak out your answer!,647.7980117797852,None,647.7646755218506,649.7891309261322,Ich muss mein Versprechen halten.,halten,649.1392994880676,651.0891959667206,651.5060816764832,652.5226788520813,664.3567505836487,None,None,None,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/rec_QA_run_00_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,666.8123388290405,None,666.782364988327,668.8067829608917,"Es ist nicht erlaubt für alle Autos, vor dem Notausgang zu parken.",parken,668.1902526378632,None,672.6571324825287,None,683.3910985946656,None,None,None,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.7979688644409,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/rec_QA_run_00_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,705.1973888874054,None,705.1675154209137,707.1920068264008,"Ein rotes Signal bedeutet, dass ich warten muss.",bedeutet,706.5421784877777,709.5920929908752,709.975691652298,710.9922358989716,721.7432006359101,722.7594349384308,723.1635119915009,None,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
,,,,,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/rec_QA_run_00_block_001_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,725.2139298915863,None,725.1895568370819,727.2096168994904,Wir haben während des Urlaubs ein gemütliches Zimmer in Meeresnähe gemietet.,gemietet,726.593177652359,None,731.4933985233307,None,741.7934444904328,742.809919834137,None,None,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.2341368198395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Please remain seated until further instruction via the earphone.,480.98015093803406,None,00,00,,A1,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_30_1828,nibs_stage_1,3.2.3,60.02616115154863,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Please remain seated until further instruction via the earphone.,797.6129097938538,None,801.6701879501343,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",801.6701879501343,None,801.6312320709229,None,"Please keep relaxed and close your eyes.
",824.7217059135437,844.7484908103943,846.5315139293671,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
