pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,participant,session,First language,German level,Full_screen,Instruction,Cali_pre,Resting_State,Fade_in_out,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,27.776905059814453,57.77845907211304,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",27.776905059814453,57.77845907211304,27.776846075057986,None,58.162079095840454,None,,184.46830105781555,None,184.45141682624816,186.45180201530457,Entweder hat mir jemand die Geldtasche gestohlen oder ich habe sie verloren .,186.83514189720154,204.43631505966187,188.2352128982544,None,201.03632578849792,None,202.43597388267517,204.43631505966187,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,False,False,True,True,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_2030,nibs_stage_1,3.2.3,60.06295126289169,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,204.48634886741638,204.48634886741638,204.48603863716124,206.48609805107117,Mit der Benzin wird der Motor des Autos angetrieben .,206.86950492858887,224.47041702270508,208.26957879066467,None,221.07018885612487,None,222.4702079296112,224.47041702270508,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,False,False,True,True,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_2030,nibs_stage_1,3.2.3,60.06295126289169,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_000.wav,286.00673604011536,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",286.00673604011536,None,285.99014077186587,None,"Please keep relaxed and close your eyes.
",307.0245530605316,327.0256609916687,328.80883502960205,None,331.7258138656616,371.7278518676758," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - 40 Hz beep (blank): censored word              
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",331.7258138656616,371.7278518676758,331.7091268062592,None,372.0943748950958,None,Listen to the question and speak out your answer!,378.26158905029297,None,378.2447466373444,380.2619390487671,Und Maggie deckt den Mittagstisch .,deckt,380.62843880653384,382.8618230819702,383.24517784118655,384.2783410549164,404.8461838722229,405.84624791145325,406.2461700439453,None,01,01,,A1,False,False,True,True,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_2030,nibs_stage_1,3.2.3,60.06295126289169,
,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,408.2630560398102,None,408.24659771919255,410.26342701911926,Dieses Brot ist maschinell hergestellt worden .,hergestellt,410.64659080505373,413.59671688079834,414.01343474388125,None,434.8478339672089,None,436.24760699272156,None,01,01,,A1,False,False,True,True,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_2030,nibs_stage_1,3.2.3,60.06295126289169,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,False,False,True,True,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_2030,nibs_stage_1,3.2.3,60.06295126289169,
,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,438.3482389450073,None,438.3311120986939,440.34802198410034,"In Neuseeland und Irland ist es so grün , weil es besonders oft regnet .",regnet,440.71469578742983,445.7648010253906,446.16510090827944,None,464.916018819809,465.9327368736267,466.3327639102936,None,01,01,,A1,False,False,True,True,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_2030,nibs_stage_1,3.2.3,60.06295126289169,
,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_001_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,468.2663040161133,None,468.2494296550751,470.2663080692291,Nun geht sie jeden Tag in den Prater zum Laufen .,geht,470.6493898391724,474.2662658691406,474.68293795585635,None,494.85063276290896,None,496.2674288749695,None,01,01,,A1,False,False,True,True,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_2030,nibs_stage_1,3.2.3,60.06295126289169,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,False,False,True,True,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_2030,nibs_stage_1,3.2.3,60.06295126289169,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,False,False,True,True,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_2030,nibs_stage_1,3.2.3,60.06295126289169,
,,,,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_000_trial_000.wav,541.1867048740387,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",541.1867048740387,None,541.1697177410126,None,"Please keep relaxed and open your eyes.
Note: Blinking is allowed.",562.2376480102539,582.2718119621277,584.0552599430084,None,590.0557010173798,630.0908799171448," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - 40 Hz beep (blank): censored word              
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",590.0557010173798,630.0908799171448,590.0388377666474,None,630.4409210681915,None,Listen to the question and speak out your answer!,631.757847070694,None,631.7244068145752,633.7577800750732,Wie lange muss Pat heute noch arbeiten ?,muss,634.1410788059235,None,637.4079648017884,None,658.3423379421234,659.3590700626373,659.7591619491577,None,01,01,,A1,False,False,True,True,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_2030,nibs_stage_1,3.2.3,60.06295126289169,
,,,,1,0,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,661.79261302948,None,661.7759485721589,663.7926330566406,Wie siehst du denn aus !,siehst,664.1759589672089,666.0929200649261,666.5094088077545,None,688.3771759033203,689.3940389156342,689.793928861618,None,01,01,,A1,False,False,True,True,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_2030,nibs_stage_1,3.2.3,60.06295126289169,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,False,False,True,True,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_2030,nibs_stage_1,3.2.3,60.06295126289169,
,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,691.7775678634644,None,691.7606968402863,693.7776460647583,Bei dem Gewitter letzte Woche hat der Blitz in ein Boot eingeschlagen .,eingeschlagen,694.1608217716217,698.71107006073,699.1277388095856,700.1446619033813,718.3620618343353,None,719.7788050174713,None,01,01,,A1,False,False,True,True,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_2030,nibs_stage_1,3.2.3,60.06295126289169,
,,,,1,0,1,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_001_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,721.7624230384827,None,721.7455777645112,723.7623510360718,Bananen finden wir in der Obstabteilung .,finden,724.1456218719483,727.262542963028,727.6458569526673,None,748.3469439506531,None,749.7636640071869,None,01,01,,A1,False,False,True,True,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_2030,nibs_stage_1,3.2.3,60.06295126289169,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,False,False,True,True,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_2030,nibs_stage_1,3.2.3,60.06295126289169,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,False,False,True,True,False,True,False,True,True,No,No,No,No,No,No,2020_Mai_06_2030,nibs_stage_1,3.2.3,60.06295126289169,
